,participant_ID,treatment,block_progressive_ID,block_type,block_order,block_stimuli,trial_ID,start_position,value_left_1,value_left_2,value_left_3,value_left_4,value_left_5,value_left_6,value_right_1,value_right_2,value_right_3,value_right_4,value_right_5,value_right_6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total,trial_ID_block,left-0-right
119,13,1,3,1,2,1,120,0,71.0,33.0,58.0,26.0,76.0,70.0,62.0,90.0,76.0,75.0,72.0,54.0,334.0,429.0,10113.570600001125,0,0,,,,,20,0
120,13,1,3,1,2,1,121,0,59.0,56.0,84.0,71.0,53.0,86.0,82.0,68.0,83.0,71.0,79.0,75.0,409.0,458.0,2669.093800000055,0,0,,,,,21,0
121,13,1,3,1,2,1,122,0,47.0,69.0,73.0,81.0,40.0,38.0,72.0,87.0,37.0,31.0,29.0,47.0,348.0,303.0,1367.8317999998112,0,1,,,,,22,0
122,13,1,3,1,2,1,123,0,46.0,36.0,69.0,90.0,33.0,47.0,82.0,70.0,77.0,87.0,35.0,85.0,321.0,436.0,1084.130000000144,0,0,,,,,23,0
123,13,1,3,1,2,1,124,0,85.0,35.0,55.0,35.0,86.0,90.0,76.0,58.0,17.0,86.0,68.0,75.0,386.0,380.0,3919.5251999999896,0,1,,,,,24,0
124,13,1,3,1,2,1,125,0,27.0,43.0,30.0,37.0,30.0,73.0,85.0,64.0,77.0,46.0,42.0,76.0,240.0,390.0,3302.545100000363,0,0,,,,,25,0
125,13,1,3,1,2,1,126,0,77.0,82.0,79.0,67.0,36.0,73.0,89.0,83.0,50.0,85.0,55.0,36.0,414.0,398.0,533.7548999998719,0,1,,,,,26,0
126,13,1,3,1,2,1,127,0,31.0,81.0,79.0,78.0,51.0,59.0,74.0,89.0,59.0,63.0,87.0,35.0,379.0,407.0,4754.268599999904,0,0,,,,,27,0
127,13,1,3,1,2,1,128,0,64.0,86.0,64.0,46.0,86.0,45.0,62.0,86.0,28.0,77.0,42.0,35.0,391.0,330.0,8391.428200001128,0,1,,,,,28,0
128,13,1,3,1,2,1,129,0,78.0,65.0,40.0,73.0,43.0,69.0,36.0,65.0,69.0,71.0,90.0,86.0,368.0,417.0,3853.287399999657,0,0,,,,,29,0
129,13,1,3,1,2,1,130,0,74.0,89.0,59.0,63.0,87.0,35.0,31.0,81.0,79.0,78.0,51.0,59.0,407.0,379.0,1451.0381999993695,0,1,,,,,30,0
130,13,1,3,1,2,1,131,0,29.0,89.0,74.0,47.0,39.0,79.0,68.0,63.0,83.0,27.0,89.0,52.0,357.0,382.0,950.5801999996414,0,0,,,,,31,0
131,13,1,3,1,2,1,132,0,26.0,71.0,79.0,90.0,51.0,16.0,53.0,90.0,89.0,89.0,63.0,34.0,333.0,418.0,3185.286399999237,0,0,,,,,32,0
132,13,1,3,1,2,1,133,0,34.0,84.0,76.0,55.0,17.0,26.0,80.0,60.0,70.0,76.0,81.0,70.0,292.0,437.0,2968.8700999996863,0,0,,,,,33,0
133,13,1,3,1,2,1,134,0,82.0,58.0,54.0,67.0,63.0,82.0,89.0,82.0,36.0,67.0,86.0,24.0,406.0,384.0,767.2977999997557,0,1,,,,,34,0
134,13,1,3,1,2,1,135,0,60.0,80.0,90.0,81.0,56.0,64.0,54.0,27.0,77.0,71.0,76.0,71.0,431.0,376.0,5771.0095999998275,0,1,,,,,35,0
135,13,1,3,1,2,1,136,0,26.0,64.0,39.0,72.0,89.0,89.0,43.0,71.0,72.0,59.0,85.0,66.0,379.0,396.0,467.04809999999117,0,0,,,,,36,0
136,13,1,3,1,2,1,137,0,41.0,78.0,64.0,26.0,67.0,52.0,50.0,45.0,83.0,78.0,71.0,27.0,328.0,354.0,300.27380000005934,0,0,,,,,37,0
137,13,1,3,1,2,1,138,0,87.0,69.0,82.0,88.0,74.0,90.0,63.0,73.0,35.0,82.0,40.0,79.0,490.0,372.0,266.8896999999648,0,1,,,,,38,0
138,13,1,3,1,2,1,139,0,85.0,42.0,66.0,39.0,43.0,46.0,76.0,24.0,56.0,66.0,73.0,36.0,321.0,331.0,550.3676000001142,0,0,,,,,39,0
