,Unnamed: 0,Unnamed: 0.1,block_order,block_progressive_ID,block_stimuli,block_type,bonus_block_type,bonus_total,bonus_trial_correct,bonus_trial_number_chosen,choice_correct,choice_correct.1,left-0-right,participant_ID,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,side_chosen,start_position,total_left,total_right,treatment,trial_ID,trial_ID_block,waiting_elapsed
51,51.0,,0,0,2,6,,,,,1,1,1,1,27.0,46.0,75.0,24.0,44.0,16.0,61.0,72.0,11.0,12.0,33.0,25.0,0,1,232.0,214.0,2,0,0,1166.8300000000852
52,52.0,,0,0,2,6,,,,,1,1,2,1,12.0,41.0,12.0,25.0,27.0,55.0,30.0,39.0,64.0,70.0,77.0,48.0,1,4,172.0,328.0,2,0,0,616.7529999999912
53,53.0,,0,0,2,6,,,,,0,0,2,1,18.0,58.0,64.0,16.0,26.0,20.0,22.0,15.0,12.0,66.0,54.0,39.0,1,2,208.0,202.0,2,0,0,816.7810000000519
54,54.0,,0,0,2,6,,,,,0,0,2,1,41.0,29.0,45.0,33.0,19.0,34.0,30.0,66.0,36.0,15.0,20.0,22.0,1,4,201.0,189.0,2,0,0,516.7389999998617
55,55.0,,0,0,2,6,,,,,1,1,2,1,48.0,29.0,45.0,53.0,19.0,46.0,23.0,56.0,78.0,55.0,43.0,25.0,0,2,280.0,240.0,2,0,0,416.7250000000233
56,56.0,,0,0,2,6,,,,,1,1,1,1,17.0,17.0,32.0,40.0,25.0,56.0,67.0,64.0,82.0,51.0,46.0,29.0,1,1,187.0,339.0,2,0,0,433.3939999999362
57,57.0,,0,0,2,6,,,,,0,0,2,1,20.0,31.0,10.0,36.0,12.0,59.0,52.0,11.0,39.0,48.0,19.0,31.0,1,2,200.0,168.0,2,0,0,433.3940000000411
58,58.0,,0,0,2,6,,,,,0,0,1,1,43.0,11.0,82.0,34.0,30.0,39.0,52.0,22.0,13.0,72.0,65.0,59.0,1,3,283.0,239.0,2,0,0,616.7530000000029
59,59.0,,0,0,2,6,,,,,0,0,2,1,68.0,40.0,17.0,51.0,55.0,11.0,69.0,26.0,49.0,44.0,26.0,41.0,0,4,242.0,255.0,2,0,0,450.06299999984907
60,60.0,,1,0,2,4,,,,,0,0,0,1,76.0,66.0,58.0,29.0,23.0,46.0,11.0,85.0,21.0,36.0,37.0,30.0,1,0,298.0,220.0,2,0,0,1600.2240000001846
61,61.0,,1,0,2,4,,,,,1,1,0,1,28.0,29.0,11.0,15.0,37.0,40.0,40.0,41.0,34.0,47.0,27.0,73.0,1,0,160.0,262.0,2,0,0,600.0840000000552
62,62.0,,1,0,2,4,,,,,1,1,0,1,48.0,10.0,40.0,12.0,48.0,51.0,71.0,27.0,45.0,62.0,24.0,29.0,1,0,209.0,258.0,2,0,0,550.0769999998156
63,63.0,,1,0,2,4,,,,,1,1,0,1,27.0,28.0,63.0,29.0,11.0,11.0,83.0,45.0,25.0,28.0,51.0,78.0,1,0,169.0,310.0,2,0,0,450.0630000001052
64,64.0,,1,0,2,4,,,,,1,1,0,1,55.0,57.0,43.0,60.0,10.0,40.0,26.0,21.0,31.0,38.0,32.0,69.0,0,0,265.0,217.0,2,0,0,1933.6039999998645
65,65.0,,1,0,2,4,,,,,1,1,0,1,33.0,66.0,32.0,25.0,45.0,27.0,60.0,25.0,18.0,71.0,67.0,32.0,1,0,228.0,273.0,2,0,0,966.8019999999324
66,66.0,,1,0,2,4,,,,,1,1,0,1,42.0,33.0,53.0,37.0,50.0,11.0,80.0,36.0,73.0,23.0,14.0,54.0,1,0,226.0,280.0,2,0,0,583.4149999999207
67,67.0,,1,0,2,4,,,,,0,0,0,1,26.0,21.0,31.0,38.0,32.0,69.0,55.0,57.0,43.0,60.0,10.0,40.0,0,0,217.0,265.0,2,0,0,883.7210000000662
68,68.0,,1,0,2,4,,,,,1,1,0,1,37.0,49.0,44.0,43.0,57.0,17.0,59.0,36.0,36.0,26.0,19.0,60.0,0,0,247.0,236.0,2,0,0,433.39399999990127
69,69.0,,1,0,2,4,,,,,1,1,0,1,13.0,25.0,22.0,62.0,15.0,10.0,16.0,31.0,25.0,16.0,17.0,33.0,0,0,147.0,138.0,2,0,0,533.4079999998445
70,70.0,,1,0,2,4,,,,,1,1,0,1,23.0,17.0,63.0,10.0,18.0,12.0,10.0,27.0,18.0,49.0,13.0,23.0,0,0,143.0,140.0,2,0,0,533.4080000000775
71,71.0,,1,0,2,4,,,,,0,0,0,1,15.0,32.0,13.0,68.0,30.0,60.0,17.0,56.0,32.0,78.0,18.0,15.0,1,0,218.0,216.0,2,0,0,1266.8440000000412
72,72.0,,1,0,2,4,,,,,1,1,0,1,35.0,14.0,11.0,23.0,64.0,44.0,30.0,38.0,14.0,17.0,21.0,43.0,0,0,191.0,163.0,2,0,0,433.3939999999944
73,73.0,,1,0,2,4,,,,,1,1,0,1,47.0,44.0,57.0,37.0,42.0,23.0,38.0,77.0,13.0,56.0,63.0,12.0,1,0,250.0,259.0,2,0,0,533.4079999998678
74,74.0,,1,0,2,4,,,,,1,1,0,1,17.0,56.0,32.0,78.0,18.0,15.0,15.0,32.0,13.0,68.0,30.0,60.0,1,0,216.0,218.0,2,0,0,633.4219999999507
